Algoritmo,Tamanho,Condição,Tempo Médio,Comparações Médias
Quick Sort,100,Crescente,0.00033346811930338543,654.3333333333334
Quick Sort,100,Decrescente,0.0,609.3333333333334
Quick Sort,100,Aleatorio,0.0003306070963541667,605.3333333333334
Quick Sort,1000,Crescente,0.0017441908518473308,11018.666666666666
Quick Sort,1000,Decrescente,0.005440870920817058,11348.333333333334
Quick Sort,1000,Aleatorio,0.0023457209269205728,10954.0
Quick Sort,5000,Crescente,0.01453709602355957,71997.0
Quick Sort,5000,Decrescente,0.013711770375569662,68423.0
Quick Sort,5000,Aleatorio,0.0125732421875,71141.66666666667
Quick Sort,30000,Crescente,0.09239236513773601,539626.6666666666
Quick Sort,30000,Decrescente,0.07161315282185872,545256.0
Quick Sort,30000,Aleatorio,0.07537341117858887,533322.3333333334
Quick Sort,50000,Crescente,0.12443161010742188,957562.6666666666
Quick Sort,50000,Decrescente,0.12147363026936848,929494.3333333334
Quick Sort,50000,Aleatorio,0.1369952360788981,949040.0
Quick Sort,100000,Crescente,0.25026686986287433,1951758.0
Quick Sort,100000,Decrescente,0.2692696253458659,2021287.3333333333
Quick Sort,100000,Aleatorio,0.2983793417612712,1996058.3333333333
Quick Sort,150000,Crescente,0.4154667854309082,3059468.3333333335
Quick Sort,150000,Decrescente,0.4181382656097412,3106879.3333333335
Quick Sort,150000,Aleatorio,0.48493464787801105,3166433.3333333335
Quick Sort,200000,Crescente,0.5645327568054199,4243650.0
Quick Sort,200000,Decrescente,0.5862851142883301,4339899.0
Quick Sort,200000,Aleatorio,0.6237988471984863,4161883.6666666665
