Algoritmo,Tamanho,Condição,Tempo Médio,Comparações Médias
Hybrid Quick Sort,100,Crescente,0.0,509.6666666666667
Hybrid Quick Sort,100,Decrescente,0.0004305839538574219,748.6666666666666
Hybrid Quick Sort,100,Aleatorio,0.0,756.6666666666666
Hybrid Quick Sort,1000,Crescente,0.001351753870646159,8932.0
Hybrid Quick Sort,1000,Decrescente,0.0015074412027994792,12344.0
Hybrid Quick Sort,1000,Aleatorio,0.0023729801177978516,12120.0
Hybrid Quick Sort,5000,Crescente,0.011418501536051432,66234.0
Hybrid Quick Sort,5000,Decrescente,0.012656052907307943,73450.0
Hybrid Quick Sort,5000,Aleatorio,0.012864987055460611,72319.33333333333
Hybrid Quick Sort,30000,Crescente,0.05831281344095866,495199.3333333333
Hybrid Quick Sort,30000,Decrescente,0.07380255063374837,557798.0
Hybrid Quick Sort,30000,Aleatorio,0.07982007662455241,558318.0
Hybrid Quick Sort,50000,Crescente,0.09320855140686035,878658.6666666666
Hybrid Quick Sort,50000,Decrescente,0.1347036361694336,992970.6666666666
Hybrid Quick Sort,50000,Aleatorio,0.11314527193705241,936682.0
Hybrid Quick Sort,100000,Crescente,0.20854663848876953,1915760.3333333333
Hybrid Quick Sort,100000,Decrescente,0.26757438977559406,2149820.3333333335
Hybrid Quick Sort,100000,Aleatorio,0.48575488726298016,2051507.3333333333
Hybrid Quick Sort,150000,Crescente,0.7751801808675131,3132423.6666666665
Hybrid Quick Sort,150000,Decrescente,0.8201904296875,3252590.3333333335
Hybrid Quick Sort,150000,Aleatorio,0.9126079877217611,3295706.6666666665
Hybrid Quick Sort,200000,Crescente,0.976035992304484,4009620.0
Hybrid Quick Sort,200000,Decrescente,1.1197803815205891,4454323.666666667
Hybrid Quick Sort,200000,Aleatorio,1.2231940428415935,4317135.0
