Algoritmo,Tamanho,Condição,Tempo Médio,Comparações Médias
Bubble Sort,1,Crescente,0.0,0.0
Insertion Sort,1,Crescente,0.0,0.0
Merge Sort,1,Crescente,0.0,0.0
Heap Sort,1,Crescente,0.0,0.0
Quick Sort,1,Crescente,0.0,0.0
Bubble Sort,1,Decrescente,0.0,0.0
Insertion Sort,1,Decrescente,0.0,0.0
Merge Sort,1,Decrescente,0.0,0.0
Heap Sort,1,Decrescente,0.0,0.0
Quick Sort,1,Decrescente,0.0,0.0
Bubble Sort,1,Aleatorio,0.0,0.0
Insertion Sort,1,Aleatorio,0.0,0.0
Merge Sort,1,Aleatorio,0.0,0.0
Heap Sort,1,Aleatorio,0.0,0.0
Quick Sort,1,Aleatorio,0.0,0.0
Bubble Sort,10,Crescente,0.0,45.0
Insertion Sort,10,Crescente,0.0,9.0
Merge Sort,10,Crescente,0.0,34.0
Heap Sort,10,Crescente,0.0,41.0
Quick Sort,10,Crescente,0.0,23.666666666666668
Bubble Sort,10,Decrescente,0.0,45.0
Insertion Sort,10,Decrescente,0.0,45.0
Merge Sort,10,Decrescente,0.0,34.0
Heap Sort,10,Decrescente,0.0,35.0
Quick Sort,10,Decrescente,0.0,21.0
Bubble Sort,10,Aleatorio,0.0,45.0
Insertion Sort,10,Aleatorio,0.0,23.0
Merge Sort,10,Aleatorio,0.0,34.0
Heap Sort,10,Aleatorio,0.0008655389149983724,38.0
Quick Sort,10,Aleatorio,0.0,24.666666666666668
Bubble Sort,50,Crescente,0.0,1225.0
Insertion Sort,50,Crescente,0.0,49.0
Merge Sort,50,Crescente,0.0,286.0
Heap Sort,50,Crescente,0.0,434.0
Quick Sort,50,Crescente,0.0,245.66666666666666
Bubble Sort,50,Decrescente,0.0008126099904378256,1225.0
Insertion Sort,50,Decrescente,0.0003479321797688802,1225.0
Merge Sort,50,Decrescente,0.0,286.0
Heap Sort,50,Decrescente,0.00043471654256184894,379.0
Quick Sort,50,Decrescente,0.0,288.3333333333333
Bubble Sort,50,Aleatorio,0.0,1225.0
